Group,Team,Confederation,FIFA_Ranking,Key_Player_1,KP1_Position,KP1_Club,KP1_Notable_Achievement,Key_Player_2,KP2_Position,KP2_Club,KP2_Notable_Achievement,Team_Best_WC_Finish,WC_Debut,Notes,Key_Player_3,KP3_Position,KP3_Club,KP3_Notable_Achievement,Key_Player_4,KP4_Position,KP4_Club,KP4_Notable_Achievement,Key_Player_5,KP5_Position,KP5_Club,KP5_Notable_Achievement,Key_Player_6,KP6_Position,KP6_Club,KP6_Notable_Achievement
A,Mexico,CONCACAF,15,Gilberto Mora,Forward,Club América,Youngest ever Mexican senior debutant (age 16 in Jan 2025); attracted interest from Real Madrid & Man Utd,Santiago Gimenez,Forward,AC Milan,Scored 18+ league goals in Serie A 2024-25 season,Quarter-finals (1970 & 1986),No,Co-host; opens tournament vs South Africa at Azteca on June 11,Raul Jimenez,Forward,Fulham,Mexico's most experienced striker; 100+ international goals; Fulham EPL regular,,,,,,,,,,,,
A,South Africa,CAF,60,Relebohile Mofokeng,Forward,Orlando Pirates,CAF Champions League winner 2024; Bafana Bafana breakthrough star; youngest PSL sensation at 21,Lyle Foster,Forward,Burnley,Scored in EPL despite Burnley relegation 2024-25; key striker for Bafana Bafana,Group stage (1998/2002/2010),No,Opens vs Mexico in tournament opener; first WC since hosting in 2010,,,,,,,,,,,,,,,,
A,South Korea,AFC,25,SON Heungmin,Forward/Winger,LAFC,Korea captain; 100+ international goals; moved to MLS with LAFC after legendary Spurs career,LEE Jaesung,Midfielder,1. FSV Mainz 05,Bundesliga regular at Mainz; consistent link midfielder for South Korea,Semi-finals (2002),No,Won Asian qualifying Group B convincingly,KIM Minjae,Defender,FC Bayern München,Bayern Munich CB; one of world's top defenders; Bundesliga champion 2024-25; South Korea's defensive rock,,,,,,,,,,,,
A,Czechia,UEFA,41,Patrik Schick,Forward,Bayer Leverkusen,Scored 16 Bundesliga goals 2025-26; joint Euro 2020 Golden Boot winner,Tomas Soucek,Midfielder,West Ham,200+ Premier League appearances; club captain at West Ham,Runner-up (1934 & 1962),No,First WC since 2006; knocked Italy out of qualifiers,Adam Hlozek,Forward,TSG Hoffenheim,Bundesliga striker at Hoffenheim; Czech Republic's most exciting young forward,,,,,,,,,,,,
B,Canada,CONCACAF,30,Alphonso Davies,Defender/Winger,Bayern Munich,2x Champions League winner; Bayern Bundesliga titles 2021-2024,Jonathan David,Forward,Juventus,Scored 30+ Ligue 1 goals 2024-25; moved to Juventus; one of world's top strikers,Group stage (1986 & 2022),No,Co-host; opens vs Bosnia on June 12 in Toronto,Stephen Eustaquio,Midfielder,LAFC,Canada's midfield engine; consistent MLS performer; key to historic 2026 qualification run,,,,,,,,,,,,
B,Bosnia & Herzegovina,UEFA,52,Edin Dzeko,Forward,Schalke 04,530+ career goals across Serie A/EPL/Bundesliga; Bosnia's all-time top scorer,Ermedin Demirovic,Forward,VfB Stuttgart,18+ Bundesliga goals 2024-25 with VfB Stuttgart; Bosnia's main striker and joint top scorer,Group stage (2014),No,Beat Italy in qualification playoff to reach WC,,,,,,,,,,,,,,,,
B,Qatar,AFC,35,Akram Afif,Forward,Al Sadd,AFC Player of Year 2023; scored hat-trick in 2023 Asian Cup final to win title,Hassan Alhaydos,Midfielder,Al Sadd SC,Qatar's all-time leading scorer; veteran of 2022 WC as host; cornerstone of Qatar's attack,Group stage (2022),No,First time qualified through qualifying (not as host),Almoez Ali,Forward,Al Duhail SC,Scored hat-trick in 2019 Asian Cup final; Qatar's most prolific striker; 70+ international goals,,,,,,,,,,,,
B,Switzerland,UEFA,19,Granit Xhaka,Midfielder,Sunderland,120+ Switzerland caps; moved to Sunderland; still the creative heartbeat of the team,Breel Embolo,Forward,Stade Rennais,Moved to Stade Rennais; Ligue 1 regular; Switzerland's most dangerous attacker,Quarter-finals (1934/1938/1954),No,Consistent European qualifier; often reach Round of 16,Dan Ndoye,Forward/Winger,Nottingham Forest,Nottingham Forest winger; Switzerland's most exciting young talent; consistent Premier League performer,,,,,,,,,,,,
C,Brazil,CONMEBOL,6,Vinicius Junior,Forward,Real Madrid,Won Champions League 2024; Ballon d'Or runner-up 2023; 2024-25 UCL top scorer,Endrick,Forward,Olympique Lyonnais,On loan at Olympique Lyonnais from Real Madrid; youngest Brazil debutant in decades; scored on WC debut,Winners (1958/1962/1970/1994/2002),No,5x champions; 24 years without a title; faces Morocco & Scotland,Neymar Jr,Forward,Santos FC,Brazil's all-time top scorer (80+ goals); returned from injury to lead Brazil's golden generation one last time,Raphinha,Forward/Winger,FC Barcelona,Barcelona no.11; consistent La Liga and UCL performer; Brazil's most reliable winger,Bruno Guimaraes,Midfielder,Newcastle United,Newcastle United's midfield anchor; one of world's best box-to-box midfielders; 50+ Brazil caps,Gabriel Martinelli,Forward/Winger,Arsenal,Arsenal's no.11; consistent Premier League performer; Brazil's electric left-wing option
C,Morocco,CAF,8,Achraf Hakimi,Defender,Paris Saint-Germain,Won Ligue 1 2022-25 with PSG; right-back rated top 5 in the world,Brahim Diaz,Forward,Real Madrid,Real Madrid winger; Morocco no.10; creative engine for the Atlas Lions; key to 2026 WC campaign,Semi-finals (2022),No,Best African nation in history; faces Brazil & Scotland,Sofyan Amrabat,Midfielder,Real Betis,Morocco's defensive midfield anchor; star of 2022 WC semi-final run; La Liga regular at Real Betis,,,,,,,,,,,,
